text;classificacao
  convoca coletiva para falar da situação da  FebreAmarela no estado https://t.co/7RwhYPH1Oz https://t.co/lfICLTfvxZ;0
  Após ser agredida, mulher atira contra homem em Governador Valadares https://t.co/LSQcIK1ugn  OperacaoBetaLab  Sigodevolta;0
  Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/QIT9YlYMog  OperacaoBetaLab  Sigodevolta;0
  Defesa Civil de MG confirma 16ª morte pela chuva no estado https://t.co/SYMRdMAXFX  OperacaoBetaLab  Sigodevolta;0
  Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/888hGlseNv  OperacaoBetaLab  Sigodevolta;0
  Homem é morto a tiros após deixar presídio em Governador Valadares https://t.co/ecLiHQp1VR  OperacaoBetaLab  Sigodevolta;0
  MG é o quarto estado a garantir o direito à amamentação em público https://t.co/sCrrQLncHs  OperacaoBetaLab  Sigodevolta;0
  PM apreende armas usadas em homicídio em Governador Valadares https://t.co/YEFA0XEdKB  OperacaoBetaLab  Sigodevolta;0
  Polícia Militar apreende 30 kg de maconha em Governador Valadares https://t.co/eK1qMAUL36  OperacaoBetaLab  Sigodevolta;0
  Prefeito de Aimorés decreta estado de emergência administrativa https://t.co/0Z7GX9GBPM  OperacaoBetaLab  Sigodevolta;-1
  Prefeito de Ribeirão das Neves decreta estado de calamidade financeira https://t.co/cyvkfwwslD  OperacaoBetaLab  Sigodevol…;-1
  Prefeitura de Uberlândia decreta estado de calamidade financeira  https://t.co/whTppNXDOk  OperacaoBetaLab  Sigodevolta;-1
  UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/Fd8uVtW5bm  OperacaoBetaLab  Sigodevolta;0
  Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/YA3HKtxvza  OperacaoBetaLab  Sigodevolta;0
*  MG Y con tu Apellido tiro un Estado.. ☺;0
 __MathLaham  1psicopatar  samuelcost4 não sabia que o Estado de Minas existia em 1926, amigo...E detalhe:isso só apareceu depois de 2011 rs;0
 _pereiraclayton em Minas ta seu cu kkkkkk estou no mesmo estado q você palhaço ;0
 1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade;-1
 50Rosanaborges  folha  UOL já é o pior governador da história de Minas.;-1
 a_alinediniz parabéns vc emplacou o release no estadão,  folha,  o globo,  isto é e Veja. Na próxima vez consiga SPTV,  Estado de Minas...;0
 AcordouAcordou Minas está linda, recheada de mineiros e mineiras gente boa, o problema é o governo de MG.;-1
 AdemirAlvim  pdevechi Estado de Minas melhorando a manchete tb... só não falou que eram negros, mas mencionou a motivação política.;0
 AL_Kaio_ acho que não 4 de SP, 4 do RJ, 3 de MG, 3 do RS, e 3 do ES! Todos se enfrentavam e o melhor de cada estado passava pras semis;0
 AlbertoLage  rebeldescalca  YouTube quero ver a desculpa quando ele ganhar uma boquinha no governo de Minas;-1
 AnaPaulaVolei e tem mais essa: https://t.co/BnDsO34qK0;0
 Anastasia  revistaencontro Espero que você seja o próximo governador das Minas Geraes!;0
 andregallindo  R2renatoribeiro  JornalOGlobo Sou de minas, flamenguista e é triste, muito triste ver o maior palco do futebol neste estado.;0
 anterogreco  gianoddi  rafaelribeiro se der, manda um abraço para os palmeirenses aqui de governador Valadares MG, Antero.;0
 AREZZO_ estou em outro estado! Comprei durante as férias em MG.;0
 AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocente;0
 azeredo_mg  STF_oficial  MichelTemer Justamente isso, morreu bandido é indenizado, enquanto isso os inocentes estão sem aparo do governo;0
 b3arland eu sou do interior de MG, mas minha cidade faz divisa com o estado de SP. O mais perto que eu conheço aqui é o Breno;0
 baekliar o governo de minas dá ate estojo???????socorro;0
 Bella_DiGenaro y patea con las 2 patas, además el wueon es zurdos, con todas las minas buenas q a estado, se le va el gusto atrás?;0
 beppo22 Risco de calote de Estados com a União cresce - Politica - Estado de Minas https://t.co/zdjOcATDo3;-1
 cartacapital e em minas governador usa helicóptero do governo para buscar filho em festa;-1
 cartacapital isso tudo é um absurdo, legal mesmo é isso aqui https://t.co/TnVZQTadaD;0
 Castro2Monica então, qual é o governador das Minas Gerais?;0
 charlesbigfoot  DecaRGarcia  Poder_360 Concordo plenamente. Já trabalhei no governo de MG e vi isso de perto.;-1
 ClaroPeru q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas!!;0
 Codevasf e  governomg discutem retomada do convênio para construção da barragem do Jequitaí. Veja:… https://t.co/ndMvqAk49E;0
 ConsuladosGalo Boa tarde. Consulado do Galo de Governador Valadares/MG. Ajude a divulgar. ObriGalo.;0
 cotonewers praticamente hahah uma parte da minha família é de mg. Pra mim é o melhor estado p passear no Brasil ;0
 danilo12mf  pires_magela  ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda ..só tem lixo nessa porra;-1
 DCM_online Newton Cardoso Junior é da pior estirpe de politicos mineiros. Um golpista e desonesto, herança do pai, ex-governador de Minas.!;-1
 deeh_gerhardt https://t.co/TONVnZGvHq;0
 deivaolm  Ary_AntiPT  c0nvey Antes ou depois de o governo de MG comprar 2 helicópteros?;-1
 dibiaseneves vão se apaixonar pelo melhor estado do Brasil e pelo MAIOR de MG, sejam bem vindos a BH.  cruzeirosempre  maiordeminas;0
 diegocabral75  exame aí em MG, ta td bem? Pimentel cada dia fazendo melhor para o estado né? ainda bem q o doria é prefeito de SP e nao BH;1
 digaoi a internet ta ruim no estado de MG ?;0
 diogo_cc estou hahahaha mas trabalho mais pro impresso, Estado de Minas;0
 doidao_galo  _FSEP  twitpalmeiras kkkk mineirao e do governo de Minas.  Aí joga no indepencia pq torcida só enche caixa de fósforo;0
 DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533;0
 droguerianena.Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias;0
 ElPoliTwico AYUDA HOY ES UNA NIÑA CON MENINGITIS. mañana puede ser cualquiera. Su estado es grave x falta d medicamento Aciclovir 500 mg.;0
 em_com MG, o estado da idade do ferro, e sua capital;0
 em_com vão cobrir isto? https://t.co/SNYMRfQ737;0
 esd4n ninguno, a decir verdad he estado con minas peores;0
 eumateus75  Morro_Cristo  JanainaDoBrasil  ptnacional  ptbrasiI Em MG, a criminalidade aumentou com o PT https://t.co/3E7sdl1UsT;-1
 evaristocosta já visitou o estado de MG? Se sim o que achou?;0
 FlowstreetYT bueno ese mg no ha estado nada mal lool omgggg!!!Gracias Flowiiii;0
 folha - E daí? O palhaço de Minas voou trocentas vezes no helicóptero do ESTADO para namorar em Florianópolis e a imprensa não deu um PIO.;-1
 folha esse lixo petista quebrou o estado de Minas Gerais mais uma vez! seu lugar é um só..;-1
 ForunsMG vão eleger novos prefeitos e vereadores para o Colegiado Executivo e avançar na participação popular.… https://t.co/hLjmXWoK4i;0
 FutDados William não tem mais clima para prosseguir no maior time do Estado de Minas Gerais ... fora William...;0
 Fute_Minas O complicado é isso! Desse jeito nunca teremos uma terceira, quarta força no estado! Não da pros clubes do interior investir!;0
 GaloAustralia incorreto. No socialismo, a elite nunca se fode. O Estado fede.;0
 Galonopeito1 Se Minas tivesse mar, esse Estado ia ser o paraíso hahaha ❤;0
 geraldoalckmin_ boa noite governador gostaria de um emprego trabalho na área da indústria meu governador PT Minas Gerais;0
 gercinu tu estás em MG? Há uma zona de baixa pressão em cima do estado que impede a formação de nuvens.;0
 GilzanaCarvalho SP é realmente fascinante,tem vários contrastes,mas Minas é um estado bom tbm...alias o Brasil é um Belo Pais,so q mau adm;0
 GPronaldo13 Com um GOVERNADOR desse! Qualquer CORRUPTO vai querer ser CANDIDATO EM MG! Até as FACÇÕES do lula BÊBADO;-1
 helhaodoaxe  ninobec  penso_ra  JornalOGlobo Estado de Minas, bunitão, chegados do Aécio. https://t.co/sjkpoMJvqX;0
 hidselena minas gerais estado do pão de queij;0
 HSOGameplays  vc e de qual estado de minas so para saber mesmo se pa e meu vizinho;0
 i5gornascimento  i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/yM8IsmD4Wn;0
 i5gornascimento  i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/5sutw56PxJ;0
 I5gornascimento  I5gornascimento  I5gornascimento Governador Valadares registra dois assassinatos em menos de ... https://t.co/7IiBGRNW9l;0
 I5gornascimento  I5gornascimento  I5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/4MiJlXKxoW;0
 Independent  o melhor queijo do mundo é daqui do Brasil mais exatamente do estado de Minas Gerais;0
" infomoney ""bando do Brasil"" é o partido do governador de MG.";-1
 IPAFARMA  Avivasa1965 buenos días. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta;0
 israel_massa  ferrisss  JornalOGlobo pelo menos 1 coisa p se orgulhar do governo de minas. Esse tem q ser o modelo. Recuperar o cidadão...;1
 jairbolsonaro Por favor nos ajude a Pizza Pimentel aqui em MG é o maior cabide de empregos do meu estado, minha mãe coitada nem cheiro 13 s;-1
 jcavaa Cuando vi tu nombre como ganador del  EuroLogo me sonaste mucho, tras 3 días, me doy cuenta de que me has estado dando mg en insta;0
 jeffs_araujo35  sjayanthi  Ueiler2  virginiaduailib Conheço bem as APACs de quando trabalhei no governo de MG...;0
 JoanapereiraF Olá! Podemos usar a sua foto no jornal Estado de MInas? Obrigada!;0
 joaoleiteBH isso  joão, contamos com vcs pra derrotar esses bandidos q estão no poder, lugar de bandido é na cadeia, n no governo de MG;-1
 jonanperrea  holdmenouis_ mejor!! Eswue estado unos días sin conectarme por estudiar y aunque siempre intento darte mg y comentar! Un besoo;0
 jornal_cultura governo federal com cartão de crédito...governo de MG passeando e comprando helicópteros. Até onde?;-1
 jornaldacbn O  LFPezao  quando precisar dar um passeio, ele pode pedir emprestado o helicóptero emprestado do  Governador de MG.;-1
 JoseAMeadeK Los abusos, aun en el estado mas sólido, son minas sordas que tarde o temprano estallan.;0
 JustMoveOn10  TeamBTS confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro:))));0
 kalkssabrina  AnaPaulaVolei E o Estado com as finanças no vermelho! E o resto da era PT acabando com MG.;-1
 Kefera teria como doar sangue pra ele morando em outro estado? eu sou de Minas e gostaria de ajudar;0
 kellybh1 Olá Kelly, somos do estado do Paraná, mas o serviço 181 está em Minas Gerais também! Ligue 181 e denuncie!;0
 lancenet aqui em Minas nenhum dos grandes portais (itatiaia, superesportes, Estado de Minas) noticia isso. Até os setoristas desconhecem;0
 Laurinahloves5h  WorlDms91 aja si y por eso le diste mg a su estado para que te mande preguntas al chat  basta no puedo;0
 Leisparaquem  portalfab sinto muito. existem outras prioridades.  o governador de Minas precisa transportar seus pimpolhos;-1
 leonardogoncal7 qual sua principal meta pra 2017? Que Deus te abençoe cada dia mais ❤ (volta pra Governador Valadares/MG hahah);0
 LocatelVzla_ATC buenos días me pueden informar si hay stalevo de 100 mg en Locatel la limpia Estado Zulia?;0
 Lucas_htt anuncia no estado de minas o bcta kkkkkkk;0
 Lucianaleiva99 mira no me quiero ni imaginar ese estado. Así mg;0
 lucosttab eu fico meio pistola porque minas é o estado que mais produz café porém o melhor vai pro exterior e aqui do msm custa absurdos;0
 LuliiPrimo MG tengo que ser sirvienta tuya hasta 2018 por mi estado;0
 MacarenaTablada amm que le pones mg a mo estado. El finde hagamos algo asi te despedimos . Dspea te vamos a extrañarrr;0
 macsanto777  Acircamargo  KatiaAbreu Minas já sabe bem o que é ter um governador aspirador de pó... ;-1
 madeleinelacsko Em MG e SP,o Estado tem razoável controle sobre o sistema prisional,c órgãos d adimnistração penitenciária bem estruturados;1
 Madonegatti MG melhor estado;1
 Mandah05 vc viu o Governador de Minas que foi buscar o filho de helicóptero do governo ? Isso é República!;-1
 mangelrogel a mi mg tu vídeo qsyo yo no lo relacione con tu estado de ánimo, lo vi medio realista, eso le da el toke de queda ahr;0
 ManoloMontalt Paco Roig en estado puro Manolo... Jajaja!!! Me rio por no llorar :(;0
 marcelorubens É https://t.co/6lRueqop6N;0
 MarcoPaolo He estado en conciertos dnd las minas son una + empujando y pegando pero no, dale con el prejuicio que… https://t.co/scssXuac0t;0
 MarcosV60958142 Só lembrando que este crápula,mesmo com todo o apoio da mídia e dessas eleições controladas,NÃO VENCEU EM MG (estado dele);0
 McOmghall  OcenMind Segura q no es el estado quien les cede la explotación d las minas a cambio d parte de la producción?;0
 meditotal buenos días. Tienen stalevo de 100 mg? Vivo en el Estado Nueva Esparta, con urgencia;0
 mgfernetmgbirra 10 horas antes borraste mi estado, sacaste nuestra foto de todos lados,y le diste mg a una zorra ;0
 MichelTemer Esses sim precisam de indenizaçao do governo.  GloboNews https://t.co/BZtYad6JTe;0
 MichelTemer https://t.co/6gfWgoWZfn Não tem que perdoar a divida se tem tanto dinheiro para helicoptero;-1
 MidiaNINJA Apoia o governo corrupto do Fernando Pimentel em MG? Apóia que use helicóptero para buscar filho em balada?;-1
 MidiaNINJA Apoia que Pimentel ignore a falência do estado de MG e compre mais helicópteros pra passear!  ForaPimentelMG;-1
 MidiaNINJA E o governador de MG? Comprar helicópteros pode né? Basta ser petista! ;-1
 MiriamLeitaoCom  JornalOGlobo Não sabem nada .Nem se há crise mesmo nos Estados.Pelo jeito ,não. Em MG o governo esbanja.;-1
 mrc_mg Non basta cambiare canale, bisogna cambiare ennesimo Governo abusivo e soprattutto politici arroganti;0
 MrSincero_  klyfor  MBLivre  MBLivreBH Minas foi governada de 2003 a 2014 pelo PSDB e você quer fazer acreditar que Pimentel faliu o estado;1
 mtv_anab esse sotaque de minas seu ❤❤❤ melhor estado não é msm? Amo! https://t.co/4jwaOrTNMp;0
 Multi_Anime no puedo decidirme, por eso di MG y RT. Mi infancia sin alguno de los dos hubiera estado incompleta.;0
 mvbill Salve,em MG ta do mesmo estado;0
 NataliaAssis0 Se você mora em Água Doce do Norte-ES, as capela mais próximas ficam em Governador Valadares-MG e Nova Venécia-ES.;0
 NiBarga  participou junto com a anta ( Dilmês ) de terrorismo no Brasil. hoje infelizmente o povo de Minas o elegeu Governador;-1
 NiBarga Agora aguentem, mas não podemos esquecer que ele declarou estado de emergência em Minas, e vejam a hipocrisia desse safado;-1
 NiBarga Aproximadamente R$ 1,5 bilhão para o pagamento de resgates dos depósitos judiciais sumiram das contas do g… https://t.co/Uzw2mQup3p;-1
 NiBarga crise que Minas Gerais enfrenta, e antes declarou estado de emergência em Minas Gerais, o cara é pilantra e comunista terrorista,;-1
 NiBarga que o RJ , fiquem espertos . Esse safado, já deveria estar fora do governo de Minas, mas graças ao covarde e safado do Teori do STF;-1
 o_antagonista presidente do Senado esnoba justiça, governador Minas passa mão em contas judiciais. A democracia dos heróis contra ditadura;-1
 OAB_MG Segue o causador da nota https://t.co/4KoFl11vNW;0
 oficialmchariel vou te dar uma dica, não vai mais pra BH fazer show, vai pra Governador Valadares MG que vai dar certo cola que é sucesso +;0
 omonstax Porq vc não pensou em fazer faculdade aqui em mg? Ou mais pertinho do meu estado.;0
 otempo vão cobrir isto? https://t.co/SNYMRfQ737;0
 patomatti  JacAlochio deve ser por isso que o governo de Minas comprou 2 helicópteros.;-1
 pauloralin professor mande um abraço pra turma de Governador Valadares! MG;0
 PietroCamargos estado em q ironicamente os pedágios eram mt mais caro q os de minas;0
 pimentelminas Vcs bebem o povo passando fome e vcs fazendo merda desta https://t.co/2jYlrluHAJ;-1
 prof_fabio666 Polícia indicia governador de MG, Fernando Pimentel do PT, por corrupção e mais três crimes https://t.co/aNrpDlhsDw;-1
 radioitatiaia olhar para os bairros, tem tudo pra ser o futuro governador de minas.;0
 Raiaum amigo quero muito estou completamente apaixonada pelo grande estado de MG;0
" se eu ouvir nome de cidade tenho que falar o estado...""";0
 Rede45  e vcs por terem escolhido uma múmia para concorrer ao governo de Minas na última eleição são co-responsáveis.  salarioem3x;-1
